tf,params,roe,trades,win_rate
30s,9/100,-47.12238004843018,366,42.62295081967213
1min,6/26,-47.75036448129098,343,41.10787172011662
1min,12/20,-48.012438602740374,329,41.641337386018236
1min,9/26,-48.03611890110488,346,41.32947976878613
30s,3/10,-48.05671454927684,561,32.79857397504456
1min,6/30,-48.970141226390886,345,40.869565217391305
30s,6/100,-49.52645658724748,370,41.08108108108108
1min,12/15,-50.09403456288833,340,40.588235294117645
1min,9/20,-50.43280213955696,333,41.44144144144144
1min,6/15,-51.40656730223099,365,40.54794520547945
1min,3/50,-51.57650830240242,355,41.12676056338028
1min,9/10,-51.67945058526588,357,40.896358543417364
30s,15/25,-53.532348789724416,392,41.07142857142857
30s,15/26,-54.588019166157444,391,40.66496163682864
30s,15/30,-55.30395688622632,382,40.05235602094241
1min,6/20,-56.13972236019747,349,39.82808022922636
1min,9/15,-56.769167979097276,337,39.16913946587537
