TF,Fast,Slow,Band,TP,SL,ROE,Trades,WinRate
15min,9,26,10,0.02,0.03,5.324499999999972,71,78.87323943661971
15min,6,26,50,0.03,0.03,5.313499999999976,48,72.91666666666666
15min,3,60,10,0.05,0.02,5.299499999999938,71,43.66197183098591
5min,9,50,20,0.05,0.03,5.2994999999999095,72,50.0
15min,9,60,30,0.05,0.01,5.283999999999963,74,33.78378378378378
5min,12,26,30,0.05,0.03,5.283499999999975,47,57.446808510638306
15min,9,50,20,0.05,0.01,5.2799999999999585,75,33.33333333333333
15min,9,26,20,0.05,0.01,5.277499999999975,64,35.9375
15min,12,20,30,0.05,0.02,5.273999999999958,41,53.65853658536586
5min,9,60,30,0.05,0.01,5.268500000000017,118,27.966101694915253
15min,6,10,30,0.05,0.03,5.257999999999996,29,68.96551724137932
5min,6,50,30,0.05,0.03,5.2514999999998935,67,50.74626865671642
15min,3,20,20,0.05,0.02,5.245999999999981,54,48.148148148148145
15min,9,20,20,0.03,0.03,5.237499999999969,54,70.37037037037037
15min,3,60,10,0.05,0.01,5.237499999999969,87,31.03448275862069
5min,9,50,50,0.05,0.02,5.22649999999993,71,43.66197183098591
15min,6,50,20,0.03,0.03,5.2250000000000085,68,66.17647058823529
1min,6,60,10,0.05,0.03,5.222499999999997,136,43.38235294117647
15min,3,20,30,0.05,0.01,5.22199999999998,59,37.28813559322034
15min,3,15,30,0.05,0.02,5.219499999999954,45,51.11111111111111
15min,12,60,20,0.05,0.02,5.218999999999966,68,44.11764705882353
15min,3,50,50,0.05,0.02,5.216499999999911,58,46.55172413793103
1min,6,50,10,0.05,0.03,5.21299999999998,131,43.51145038167939
5min,9,50,20,0.05,0.01,5.211000000000055,123,27.64227642276423
5min,6,26,30,0.05,0.03,5.210499999999939,62,51.61290322580645
15min,6,15,10,0.03,0.03,5.201000000000008,58,68.96551724137932
5min,9,60,10,0.05,0.03,5.199499999999929,80,48.75
15min,3,50,50,0.05,0.01,5.195999999999955,71,33.80281690140845
5min,6,26,10,0.05,0.03,5.19249999999991,77,49.35064935064935
5min,6,20,10,0.05,0.03,5.18899999999995,77,49.35064935064935
15min,3,50,10,0.05,0.01,5.181499999999957,82,31.70731707317073
15min,12,26,10,0.05,0.02,5.170999999999935,59,45.76271186440678
15min,3,15,30,0.03,0.03,5.170500000000004,52,71.15384615384616
15min,3,10,20,0.03,0.03,5.156000000000006,54,70.37037037037037
15min,3,15,10,0.05,0.02,5.151999999999973,55,47.27272727272727
15min,3,10,30,0.03,0.03,5.150499999999994,50,72.0
15min,6,15,30,0.03,0.03,5.142499999999984,46,73.91304347826086
5min,9,60,20,0.05,0.01,5.141000000000062,124,27.419354838709676
15min,3,15,50,0.03,0.03,5.139999999999986,44,75.0
5min,12,60,10,0.05,0.02,5.1399999999999295,99,39.39393939393939
15min,9,26,50,0.05,0.01,5.136499999999998,48,41.66666666666667
5min,3,60,50,0.05,0.03,5.131499999999946,62,51.61290322580645
15min,3,15,10,0.05,0.01,5.124499999999998,66,34.84848484848485
15min,6,26,20,0.02,0.03,5.123999999999981,67,79.1044776119403
5min,9,26,20,0.05,0.01,5.120000000000061,108,28.703703703703702
15min,12,20,10,0.05,0.01,5.1194999999999595,66,34.84848484848485
5min,6,60,10,0.05,0.03,5.119499999999931,83,48.19277108433735
15min,3,20,20,0.05,0.01,5.118499999999997,66,34.84848484848485
5min,3,50,50,0.05,0.03,5.116499999999959,62,51.61290322580645
5min,9,60,10,0.05,0.01,5.107000000000127,131,26.717557251908396
15min,3,60,20,0.05,0.01,5.102499999999949,83,31.32530120481928
15min,12,60,50,0.05,0.01,5.093499999999963,66,34.84848484848485
5min,9,60,30,0.05,0.02,5.085999999999913,89,40.44943820224719
1min,12,50,10,0.05,0.03,5.080500000000043,127,44.09448818897638
15min,9,26,20,0.05,0.02,5.080499999999958,56,46.42857142857143
1min,9,50,10,0.05,0.03,5.079999999999984,128,43.75
5min,12,26,20,0.03,0.03,5.0789999999999225,81,62.96296296296296
15min,3,20,30,0.05,0.02,5.076499999999953,49,48.97959183673469
15min,12,26,20,0.05,0.02,5.076499999999939,56,46.42857142857143
5min,3,10,10,0.05,0.03,5.073999999999941,70,50.0
5min,9,50,10,0.05,0.03,5.05299999999994,78,48.717948717948715
15min,3,10,10,0.05,0.02,5.045999999999964,52,48.07692307692308
15min,3,15,20,0.05,0.02,5.0434999999999945,52,48.07692307692308
15min,3,26,50,0.05,0.01,5.039999999999992,56,37.5
15min,6,10,20,0.05,0.02,5.039499999999947,39,53.84615384615385
15min,3,15,20,0.05,0.01,5.038999999999987,62,35.483870967741936
15min,12,50,20,0.05,0.02,5.0384999999999565,63,44.44444444444444
