fast,slow,confirm,band_mode,atr_k,band_bps,tp_pct,sl_pct,trend_ema,cooldown,fee_bps,size,trades,freq_per_hour,total_pnl,avg_pnl,win_rate,profit_factor,mdd,sharpe
9,26,1,atr_pct,0.3,0.0,0.015,0.01,0,0,0.0,10.0,51781,11.986573815081307,525.3449999999696,0.0101455166953123,0.4966107259419478,1.0069367042784374,-0.1186212597595864,0.8596878692655981
9,26,1,atr_pct,0.3,0.0,0.015,0.01,0,1,0.0,10.0,51781,11.986573815081307,525.3449999999696,0.0101455166953123,0.4966107259419478,1.0069367042784374,-0.1186212597595864,0.8596878692655981
9,26,1,atr_pct,1.0,0.0,0.015,0.015,200,0,0.0,10.0,51599,11.944443372750245,511.1860000000369,0.0099068974204933,0.4968507141611271,1.0067938690908778,-0.0605247942962082,0.7886577269452824
9,26,1,atr_pct,1.0,0.0,0.015,0.015,200,1,0.0,10.0,51599,11.944443372750245,511.1860000000369,0.0099068974204933,0.4968507141611271,1.0067938690908778,-0.0605247942962082,0.7886577269452824
21,55,1,bps,0.0,50.0,0.02,0.015,0,0,0.0,10.0,50395,11.66573429271398,460.36300000001467,0.0091350927671398,0.4954261335449945,1.0062771911042765,-0.0686135014441197,0.7006736091882719
21,55,1,bps,0.0,50.0,0.02,0.015,0,1,0.0,10.0,50395,11.66573429271398,460.36300000001467,0.0091350927671398,0.4954261335449945,1.0062771911042765,-0.0686135014441197,0.7006736091882719
9,26,1,atr_pct,0.6,0.0,0.015,0.015,0,0,0.0,10.0,51737,11.976388433418853,445.6395000000768,0.0086135550959676,0.4976322554458124,1.0058840430788922,-0.0610255232465207,0.7033061165816037
9,26,1,atr_pct,0.6,0.0,0.015,0.015,0,1,0.0,10.0,51737,11.976388433418853,445.6395000000768,0.0086135550959676,0.4976322554458124,1.0058840430788922,-0.0610255232465207,0.7033061165816037
21,55,1,atr_pct,0.6,0.0,0.02,0.01,200,0,0.0,10.0,51416,11.902081444472309,434.1750000000118,0.0084443558425395,0.4947098179555002,1.0058094670622992,-0.1118955813897746,0.6249707945438554
21,55,1,atr_pct,0.6,0.0,0.02,0.01,200,1,0.0,10.0,51416,11.902081444472309,434.1750000000118,0.0084443558425395,0.4947098179555002,1.0058094670622992,-0.1118955813897746,0.6249707945438554
21,26,2,atr_pct,0.6,0.0,0.015,0.01,0,0,0.0,10.0,44702,10.347884797160438,431.47000000001015,0.0096521408438103,0.4934902241510447,1.0070818098313714,-0.052302265527877,0.7645063337356044
21,26,2,atr_pct,0.6,0.0,0.015,0.01,0,1,0.0,10.0,44702,10.347884797160438,431.47000000001015,0.0096521408438103,0.4934902241510447,1.0070818098313714,-0.052302265527877,0.7645063337356044
9,26,1,atr_pct,1.0,0.0,0.02,0.015,200,0,0.0,10.0,51621,11.949536063581473,422.5410000000557,0.0081854477828801,0.4953797872958679,1.005605169202313,-0.0707141055720259,0.637226188636553
9,26,1,atr_pct,1.0,0.0,0.02,0.015,200,1,0.0,10.0,51621,11.949536063581473,422.5410000000557,0.0081854477828801,0.4953797872958679,1.005605169202313,-0.0707141055720259,0.637226188636553
21,26,2,atr_pct,1.0,0.0,0.02,0.01,0,0,0.0,10.0,21683,5.019309786068404,421.4699999999951,0.0194378084213436,0.4974403910897938,1.0148266603101557,-0.0450803234115685,1.4238141379951943
21,26,2,atr_pct,1.0,0.0,0.02,0.01,0,1,0.0,10.0,21683,5.019309786068404,421.4699999999951,0.0194378084213436,0.4974403910897938,1.0148266603101557,-0.0450803234115685,1.4238141379951943
21,26,2,atr_pct,1.0,0.0,0.02,0.01,200,0,0.0,10.0,21683,5.019309786068404,421.4699999999951,0.0194378084213436,0.4974403910897938,1.0148266603101557,-0.0450803234115685,1.4238141379951943
21,26,2,atr_pct,1.0,0.0,0.02,0.01,200,1,0.0,10.0,21683,5.019309786068404,421.4699999999951,0.0194378084213436,0.4974403910897938,1.0148266603101557,-0.0450803234115685,1.4238141379951943
21,55,2,atr_pct,1.0,0.0,0.02,0.01,200,0,0.0,10.0,50743,11.746291402226122,399.23800000002575,0.0078678438405302,0.4943144867272333,1.0054719535619003,-0.0878180215148877,0.6123346735507202
21,55,2,atr_pct,1.0,0.0,0.02,0.01,200,1,0.0,10.0,50743,11.746291402226122,399.23800000002575,0.0078678438405302,0.4943144867272333,1.0054719535619003,-0.0878180215148877,0.6123346735507202
21,55,1,bps,0.0,50.0,0.015,0.01,200,0,0.0,10.0,47634,11.026601593394934,391.304500000015,0.0082148150480752,0.4952764831842801,1.0057227998036575,-0.1134070220483001,0.6154779138224736
21,55,1,bps,0.0,50.0,0.015,0.01,200,1,0.0,10.0,47634,11.026601593394934,391.304500000015,0.0082148150480752,0.4952764831842801,1.0057227998036575,-0.1134070220483001,0.6154779138224736
9,26,1,atr_pct,0.6,0.0,0.015,0.01,200,0,0.0,10.0,51431,11.905553733675417,386.65300000000445,0.0075178977659389,0.4957904765608291,1.0051542805571316,-0.1177825454607183,0.5928603471980155
9,26,1,atr_pct,0.6,0.0,0.015,0.01,200,1,0.0,10.0,51431,11.905553733675417,386.65300000000445,0.0075178977659389,0.4957904765608291,1.0051542805571316,-0.1177825454607183,0.5928603471980155
9,26,1,atr_pct,1.0,0.0,0.02,0.01,200,0,0.0,10.0,51154,11.841432126391329,386.6239999999883,0.0075580404269458,0.493568440395668,1.0052015708253097,-0.1043774156018279,0.5684904756297589
9,26,1,atr_pct,1.0,0.0,0.02,0.01,200,1,0.0,10.0,51154,11.841432126391329,386.6239999999883,0.0075580404269458,0.493568440395668,1.0052015708253097,-0.1043774156018279,0.5684904756297589
21,55,1,bps,0.0,50.0,0.015,0.01,0,0,0.0,10.0,47648,11.02984239665117,382.4835000000152,0.0080272729180661,0.4953198455339154,1.005588127995713,-0.1134594228289566,0.6016697756069681
21,55,1,bps,0.0,50.0,0.015,0.01,0,1,0.0,10.0,47648,11.02984239665117,382.4835000000152,0.0080272729180661,0.4953198455339154,1.005588127995713,-0.1134594228289566,0.6016697756069681
9,26,1,atr_pct,1.0,0.0,0.015,0.01,200,0,0.0,10.0,51178,11.846987789116302,369.0380000000083,0.007210871859002,0.4949001524092383,1.0049669015001996,-0.1176635850225668,0.5647597093704365
9,26,1,atr_pct,1.0,0.0,0.015,0.01,200,1,0.0,10.0,51178,11.846987789116302,369.0380000000083,0.007210871859002,0.4949001524092383,1.0049669015001996,-0.1176635850225668,0.5647597093704365
