fast,slow,confirm,band_bps,tp_pct,sl_pct,trades,freq_per_hour,total_pnl,sharpe_like,max_drawdown,score,trial
25,34,3,9.41837257860815,0.006485963257720934,0.00820079793251842,387.0,1.6130600903091352,-516.656840745191,-21.711596804202106,516.6568407451869,-2003.2766014164752,44
26,37,3,10.761319325741193,0.0227331529749883,0.01068127235228018,398.0,1.6589093435220563,-464.17404620423133,-18.032718695286277,533.2232907849229,-2050.407650510334,144
26,38,3,11.352069704274825,0.006335029885607719,0.009857889885881056,408.0,1.7005904828065301,-445.6108143949667,-19.75280203346252,460.37916508262606,-2078.9566427526865,96
26,39,3,11.7401245650314,0.005465619377718266,0.008516240821902938,416.0,1.7339353942341091,-417.40916171489164,-21.479693073959975,443.9736750727243,-2109.414757026868,99
26,38,3,11.648700927261304,0.02514864436774016,0.011850468259644885,398.0,1.6589093435220563,-509.4175533148881,-20.887785475524613,565.3955259863051,-2112.022781899706,138
25,36,3,10.845484498289263,0.024406925174275024,0.009159742813739075,396.0,1.6505731156651615,-551.3272791449959,-27.670834538367235,567.0334391449815,-2138.7573135016464,186
25,37,3,11.620054281172608,0.00797546048387479,0.00878400842693975,402.0,1.675581799235846,-515.5817580009985,-22.63423132087781,540.7177707717583,-2139.3676649906574,65
25,37,3,11.59839199499396,0.007826127606743893,0.008144966698514814,403.0,1.6797499131642932,-512.1039348386352,-21.93011364919718,531.9571587421906,-2139.7753519032367,61
25,37,3,11.506275068028005,0.007930128528129143,0.012263151921643584,409.0,1.7047585967349774,-480.4714963539094,-15.905541398825747,510.0509430343009,-2146.6047154808975,71
22,34,3,10.76834199135226,0.006559660480291892,0.00822683603872371,444.0,1.8506425842306358,-297.3108497648951,-10.906095881220825,349.348304250756,-2174.360779939667,43
26,38,3,11.226300978738099,0.02003736500101091,0.010190924292615618,409.0,1.7047585967349774,-506.8955769376839,-24.177747664924944,545.618027679313,-2191.6395590137877,184
26,38,3,11.134399135965474,0.024145219558878616,0.010016026743304186,411.0,1.7130948245918722,-511.11217530740674,-24.214108800704505,546.15388546338,-2212.8001781029116,158
26,38,3,10.786086752193183,0.023457616726359678,0.011072311117557847,418.0,1.742271622091004,-469.80136969318477,-16.127534262603707,519.0164496931902,-2215.465592148048,154
26,38,3,10.824728086984672,0.022955419649263054,0.009522502284124032,417.0,1.7381035081625564,-484.6473576798925,-20.294847712031057,543.9998119542342,-2234.8837647533255,195
22,34,3,10.874432378189304,0.00903738689002523,0.007662711087083715,442.0,1.842306356373741,-369.4967200267957,-14.184639291100492,390.1461219190769,-2250.6009576629262,37
24,36,3,10.497248143310653,0.009936126052181932,0.011929795931233512,438.0,1.8256339006599513,-392.3725528359359,-12.91870489560839,424.44438885413547,-2257.154419072467,76
24,36,3,10.706879824457326,0.007430810451512076,0.010220180688929376,435.0,1.8131295588746092,-415.61423782456933,-14.175188490450475,434.26600452849925,-2260.4238766870826,84
23,34,3,8.916096534856722,0.009185015733362693,0.014100353373443515,469.0,1.95484543244182,-280.8469885082798,-8.708208130952288,313.2398250155675,-2348.028586712799,31
25,38,3,11.660908615161897,0.020271214732896742,0.010517154772820779,422.0,1.7589440778047933,-535.662292549378,-17.02406775192628,589.2371203376515,-2349.871415102983,114
24,39,3,11.964557443721166,0.008439775136965822,0.010658065048546847,458.0,1.908996179228899,-375.74627538920464,-17.75216401867147,383.3589308470073,-2387.1933156723735,80
25,38,3,11.635873225241694,0.00823528957168972,0.008211842155019723,423.0,1.7631121917332409,-564.1840531992591,-25.036862132014132,588.7123056290984,-2387.2682756934914,59
25,38,3,10.824500122911775,0.02318321739114882,0.011040805482080349,444.0,1.8506425842306358,-455.2454440375967,-15.858820643518865,502.9108825849253,-2409.5719358556826,167
25,38,3,10.59829985822483,0.005634157553339903,0.011562353200477627,451.0,1.8798193817297673,-452.9491883455371,-27.665781237227943,462.40050920590147,-2446.554784531745,117
26,41,3,11.814132707041386,0.007086002797578556,0.01086652222391652,450.0,1.87565126780132,-468.4640402343551,-20.52260092527297,472.44952291126174,-2458.043597385153,69
25,38,3,11.243287231379567,0.00920521035827942,0.010655479968432137,433.0,1.8047933310177147,-553.9089918547899,-19.175813965871736,590.1269547966149,-2460.476712685114,135
